method,ddd_threshold,samples,new_tokens,total_time,mean_tokens_per_second,mean_avg_accept_len,mean_peak_memory_gb,overall_tokens_per_second
ar,,10,1214,34.70395803451538,35.883844913042694,1.0,14.203003215789796,34.98160062297784
eagle,,10,1266,28.51334309577942,50.2301326751709,2.648157167434692,16.022185802459717,44.400265368651034
eagle_ddd,-3.0,10,1266,27.27720832824707,51.91896438598633,2.659770631790161,16.01623430252075,46.412374197728525
eagle_ddd,-2.0,10,1260,26.2381112575531,53.77291374206543,2.6980087757110596,16.001822853088377,48.021749265099515
eagle_ddd,-1.0,10,1264,24.62543535232544,56.97960205078125,2.6969391822814943,15.99892749786377,51.32904177796139
eagle_ddd,0.0,10,1258,24.70731282234192,57.45417194366455,2.7221625804901124,15.99527349472046,50.91609957932927
